Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
2,3,75,35,150,2,2,0.000494304,0
1,3,55,20,250,2,3,0.000634233,0
2,3,75,0,250,1,2,0.000206846,0
1,3,70,55,1450,2,0,0.000583971,0
0,3,55,0,30,1,1,0.000485644,0
0,3,60,60,600,2,2,0.000409935,0
0,3,70,10,450,2,4,0.000651155,0
0,3,55,25,30,1,3,0.000609737,0
2,3,50,20,1450,2,2,0.000412619,0
2,2,70,45,1450,2,0,0.000538846,0
1,3,60,55,1450,1,1,0.000187192,0
1,3,50,60,450,2,3,0.000239843,0
1,3,75,45,30,2,4,0.000489961,0
2,3,60,55,1450,2,3,0.000472935,0
1,3,70,55,1450,2,1,0.000313934,0
0,3,70,45,450,2,2,0.000333611,0
1,3,65,55,600,2,4,0.000652821,0
0,3,60,60,1250,1,2,0.000442981,0
2,3,70,25,150,2,3,0.000394967,0
2,3,60,30,1000,2,0,0.00047112,0
1,3,70,35,250,2,2,0.000663002,0
2,2,55,40,1000,0,0,0.000554126,0
2,3,65,60,150,2,4,0.000366292,0
0,3,60,40,1000,2,2,0.000652941,0
1,2,60,55,30,2,2,0.000484718,0
1,1,75,20,250,0,0,0.000259675,0
1,3,75,45,450,2,3,0.000359984,0
2,3,75,20,1000,0,3,0.000594831,0
2,3,70,55,1250,1,1,0.000612066,0
0,3,70,55,1450,2,2,0.000405748,0
2,0,75,45,1450,2,2,0.000267923,0
0,3,70,60,150,2,2,0.000355689,0
2,3,65,40,1250,2,2,0.000452598,0
1,2,75,40,250,2,1,0.000251801,0
2,3,55,10,30,1,4,0.000446843,0
2,3,75,25,1000,2,3,0.000510624,0
0,3,60,45,150,2,2,0.000643635,0
1,3,65,60,250,2,3,0.000532473,0
2,3,65,40,250,2,4,0.000280729,0
0,2,75,15,1450,2,3,0.000427108,0
0,3,75,25,30,2,2,0.000166446,0
1,3,75,45,450,0,3,0.00056873,0
2,3,65,20,450,2,2,0.000212093,0
1,3,75,25,1250,1,2,0.000573729,0
2,3,70,55,1450,2,2,0.000620372,0
0,3,60,20,600,2,4,0.000440827,0
1,3,65,35,1250,2,2,0.000328238,0
1,3,70,25,150,2,4,0.000239329,0
0,3,65,5,150,2,3,0.00044717,0
1,3,60,40,30,2,3,0.000466526,0
0,3,70,55,600,2,1,0.000430753,0
2,2,60,25,50,2,3,0.000370859,0
1,3,75,45,450,2,4,0.000482859,0
0,3,70,15,1450,0,2,0.000338799,0
0,3,60,20,1450,2,3,0.000192016,0
1,3,60,35,1250,2,0,0.000451833,0
1,3,70,20,1000,2,3,0.000318999,0
2,0,70,20,250,2,1,0.000243572,0
1,3,60,20,250,2,3,0.00025208,0
1,0,50,20,1000,2,3,0.000276049,0
1,3,70,30,600,2,4,0.000203387,0
1,3,60,30,600,2,2,0.000600874,0
1,3,75,55,30,2,3,0.000236552,0
0,3,75,35,600,2,4,0.000595676,0
2,3,70,60,1450,2,4,0.000224663,0
1,2,65,40,250,2,2,0.000140955,0
0,3,75,45,150,2,4,0.000344473,0
0,3,55,60,30,2,4,0.00021602,0
1,0,75,25,150,1,3,0.000593965,0
0,2,70,20,1250,1,3,0.000581613,0
1,3,65,60,1450,2,4,0.000559668,0
1,3,60,60,1000,2,3,0.000251121,0
2,0,60,60,1250,2,2,0.000472922,0
1,3,70,20,250,0,2,0.000646669,0
0,3,65,60,450,1,3,0.000541163,0
0,3,65,60,600,2,2,0.00028107,0
0,3,65,55,1450,2,2,0.000222325,0
2,3,50,20,250,0,2,0.000324716,0
1,1,65,30,250,2,4,0.000369723,0
0,3,70,45,600,2,4,0.000227547,0
1,3,60,45,50,1,4,0.000492745,0
1,0,75,35,250,2,4,0.000264523,0
1,3,75,60,150,2,2,0.000461281,0
0,3,65,5,600,2,4,0.000229841,0
1,1,75,0,600,2,3,0.000275244,0
0,3,70,60,50,2,3,0.000490367,0
1,3,60,20,50,2,3,0.00014366,0
0,3,75,30,1450,1,2,0.000400988,0
0,3,60,20,150,2,3,0.000162265,0
1,3,50,45,1250,2,2,0.000257772,0
0,3,55,20,50,2,4,0.000524515,0
1,3,70,55,1250,0,3,0.000466326,0
0,1,65,60,1450,2,3,0.000188211,0
1,2,60,40,600,2,3,0.000661654,0
2,3,65,5,1250,2,2,0.000453512,0
0,3,75,40,50,2,4,0.000269759,0
1,1,65,60,250,1,4,0.000419463,0
2,3,70,35,30,2,1,0.000622095,0
0,3,60,40,1000,2,3,0.000292324,0
1,3,50,60,600,2,2,0.000311078,0
0,3,75,55,450,2,4,0.000266865,0
1,3,65,55,1000,2,3,0.000438896,0
0,3,50,35,600,2,1,0.000398777,0
1,3,75,60,50,2,0,0.000280722,0
1,3,60,55,1000,2,1,0.000552806,0
0,3,70,15,150,2,2,0.000573121,0
1,3,65,55,30,2,2,0.000286596,0
0,3,70,0,150,2,3,0.000448574,0
0,3,60,45,1450,2,1,0.00060841,0
2,3,60,25,50,2,4,0.000138493,0
1,3,75,55,1000,0,4,0.000502596,0
2,3,65,30,150,2,1,0.00034559,0
2,3,75,55,250,0,4,0.000311084,0
1,3,65,40,150,2,2,0.000257387,0
1,0,70,60,150,2,3,0.000598967,0
1,3,55,25,1450,1,4,0.000460635,0
1,3,70,35,600,2,2,0.000640455,0
2,3,75,60,600,2,3,0.000524597,0
1,3,60,60,1000,2,3,0.000425254,0
0,3,65,40,450,0,4,0.00056701,0
0,3,75,20,1450,2,3,0.000371688,0
0,3,75,55,1250,2,1,0.000575776,0
